family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
governance-policy,Policy Enforcement,auditor-read,Hyperledger Fabric,native-comparable,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,5.459643333333333,5.439500000000001,6.36715,6.868649999999999,0.6219003265172178,185.9580956072711
governance-policy,Policy Enforcement,auditor-read,ProvChain-Org,cross-model-with-caveat,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,0.00144861,0.0014195,0.00189325,0.0020424499999999995,0.0008400906882989876,754878.9028449996
governance-policy,Policy Enforcement,authorized-read,Hyperledger Fabric,native-comparable,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,5.636153333333334,5.689,6.79185,7.293259999999998,0.7771002915683121,180.97297844717136
governance-policy,Policy Enforcement,authorized-read,ProvChain-Org,cross-model-with-caveat,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,0.00150206,0.001522,0.00196815,0.0022685199999999996,0.00031589705559459294,702599.8007549501
governance-policy,Policy Enforcement,authorized-write,Hyperledger Fabric,native-comparable,native,authorized-write-latency-ms,ms,,,,30,30,300,300,0,100.0,5.260293333333333,5.2509999999999994,6.0238499999999995,6.557399999999998,0.5488876514875841,192.65357012973007
governance-policy,Policy Enforcement,authorized-write,ProvChain-Org,cross-model-with-caveat,native,authorized-write-latency-ms,ms,,,,30,30,300,300,0,100.0,0.0010865866666666666,0.001093,0.00138615,0.0015905999999999995,0.00022502261180206362,975228.9887211912
governance-policy,Policy Enforcement,rejected-write,Hyperledger Fabric,native-comparable,native,rejected-write-latency-ms,ms,,,,30,30,300,300,0,100.0,5.166643333333333,5.1795,5.9468000000000005,6.3554,0.5204231061891426,195.95060719286482
governance-policy,Policy Enforcement,rejected-write,ProvChain-Org,cross-model-with-caveat,native,rejected-write-latency-ms,ms,,,,30,30,300,300,0,100.0,0.00122212,0.0012365,0.0015445500000000004,0.00173708,0.00022387213374305134,858205.9535926423
governance-policy,Policy Enforcement,unauthorized-read,Hyperledger Fabric,native-comparable,native,unauthorized-rejection-latency-ms,ms,,,,30,30,300,300,0,100.0,5.300646666666666,5.255,6.28015,6.527899999999999,0.6279236061461263,191.68285079900681
governance-policy,Policy Enforcement,unauthorized-read,ProvChain-Org,cross-model-with-caveat,native,unauthorized-rejection-latency-ms,ms,,,,30,30,300,300,0,100.0,0.0014316633333333333,0.0013375000000000001,0.0017191,0.0019275899999999986,0.0015532185433229356,812004.5347323491
governance-policy,Policy Enforcement E2E,auditor-read,Hyperledger Fabric,native-comparable,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,6.551668123333333,6.5459705,7.505883500000001,7.998947799999997,0.6583983128351875,154.3934987486988
governance-policy,Policy Enforcement E2E,auditor-read,ProvChain-Org,cross-model-with-caveat,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,1.9471331233333333,1.974535,2.30069605,2.8632487999999987,0.27691469368040905,525.7482485534421
governance-policy,Policy Enforcement E2E,authorized-read,Hyperledger Fabric,native-comparable,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,6.831114163333333,6.902175,8.038121349999999,8.639346379999997,0.8323330887685231,148.638649797591
governance-policy,Policy Enforcement E2E,authorized-read,ProvChain-Org,cross-model-with-caveat,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,2.2486185,2.2921785,2.5757609500000003,2.6996326999999987,0.2557555416772756,451.5049162597703
governance-policy,Policy Enforcement E2E,authorized-write,Hyperledger Fabric,native-comparable,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,6.316567596666666,6.321709500000001,7.1673575000000005,7.6431754399999985,0.5933636129150944,160.0219000088654
governance-policy,Policy Enforcement E2E,authorized-write,ProvChain-Org,cross-model-with-caveat,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,1.8704031866666666,1.8928675,2.1505663,2.5393005699999995,0.22725044527997115,544.1621504641823
governance-policy,Policy Enforcement E2E,rejected-write,Hyperledger Fabric,native-comparable,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,6.230993003333333,6.249119,7.0988243,7.63074416,0.5704789374922764,162.10817921844247
governance-policy,Policy Enforcement E2E,rejected-write,ProvChain-Org,cross-model-with-caveat,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,1.8639492533333333,1.8946355000000001,2.1313123500000004,2.29576731,0.2120716457186953,544.8488752035464
governance-policy,Policy Enforcement E2E,unauthorized-read,Hyperledger Fabric,native-comparable,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,6.366012746666667,6.337268,7.3960815,7.695429519999999,0.6639630325698431,158.99389103157995
governance-policy,Policy Enforcement E2E,unauthorized-read,ProvChain-Org,cross-model-with-caveat,native,policy-check-latency-ms,ms,,,,30,30,300,300,0,100.0,1.92289591,1.9402884999999999,2.3150735500000006,2.8783240699999983,0.2734909907578223,532.3770045179627
