family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Data Loading,JSON-LD Import,Fluree,native-comparable,native-rdf-path,load-latency-ms,ms,,,,30,30,30,30,0,100.0,478.46666666666664,467.0,560.65,575.97,56.912056914350075,2119.1503513766334
ledger-write,Data Loading,Turtle RDF Import,ProvChain-Org,native-comparable,native-rdf-path,load-latency-ms,ms,,,,30,30,30,30,0,100.0,24.333333333333332,23.0,35.14999999999996,41.0,4.798147790785755,26029.45902862648
ledger-write,Data Loading,Turtle to Cypher Import,Neo4j,secondary-baseline,secondary-transactional-baseline,load-latency-ms,ms,,,,30,30,30,30,0,100.0,11431.366666666667,11350.5,11855.8,11935.67,261.8381794586539,87.5201193703276
trace-query,Trace Query,Aggregation by Producer,Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,300,300,0,100.0,127.19109068666667,113.26824450000001,256.25799745000006,300.05056744,50.560141113942144,8.743269713956678
trace-query,Trace Query,Aggregation by Producer,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,300,300,0,100.0,29.573333333333334,5.0,251.10000000000002,268.02,74.01300306177437,188.54115397990972
trace-query,Trace Query,Aggregation by Producer,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,300,300,0,100.0,0.54821825,0.5188275,0.81848365,1.000283459999999,0.12468837186105541,997.5045545580891
trace-query,Trace Query,Multi-hop Traceability (10 hops),Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,9.767897138,8.5017425,15.7355568,23.963952929999994,3.8846963401963786,116.22355332474987
trace-query,Trace Query,Multi-hop Traceability (10 hops),Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,14.39,5.0,62.0,266.03,39.70285338192542,199.75254157185876
trace-query,Trace Query,Multi-hop Traceability (10 hops),ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,0.44998413666666665,0.4366315,0.57147865,0.802055,0.08317513023221539,999.7677860525945
trace-query,Trace Query,Simple Product Lookup,Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,9.756813275333334,7.780453999999999,13.05968245,89.67811527999997,11.627027472716232,127.98650919529796
trace-query,Trace Query,Simple Product Lookup,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,10.322666666666667,6.0,36.0,123.01999999999998,18.19497786631123,170.27580489817348
trace-query,Trace Query,Simple Product Lookup,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,0.45605064333333334,0.425622,0.6763793499999998,1.0278247999999999,0.13929986628243926,998.1332046463708
