family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
governance-policy,Policy Enforcement,auditor-read,Hyperledger Fabric,native-comparable,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,6.358896666666666,6.326,8.0486,10.641649999999998,1.1660475516271005,162.27748427335592
governance-policy,Policy Enforcement,auditor-read,ProvChain-Org,cross-model-with-caveat,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,0.0008317733333333333,0.0007615,0.00126815,0.0019741,0.0004698170232004039,1318826.2138519443
governance-policy,Policy Enforcement,authorized-read,Hyperledger Fabric,native-comparable,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,6.2753033333333335,6.257,8.130450000000002,8.913039999999997,1.0977852725626973,164.73682645197172
governance-policy,Policy Enforcement,authorized-read,ProvChain-Org,cross-model-with-caveat,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,0.00077059,0.0007255,0.00117935,0.0015082599999999998,0.00022703177875942095,1401379.102333494
governance-policy,Policy Enforcement,authorized-write,Hyperledger Fabric,native-comparable,native,authorized-write-latency-ms,ms,,,,30,30,300,300,0,100.0,6.263846666666667,6.2195,7.92645,9.15172,0.9986910081813204,163.87097327069412
governance-policy,Policy Enforcement,authorized-write,ProvChain-Org,cross-model-with-caveat,native,authorized-write-latency-ms,ms,,,,30,30,300,300,0,100.0,0.0006523033333333333,0.000589,0.00110435,0.0013009099999999982,0.00022038562715285122,1671987.1476352804
governance-policy,Policy Enforcement,rejected-write,Hyperledger Fabric,native-comparable,native,rejected-write-latency-ms,ms,,,,30,30,300,300,0,100.0,6.29839,6.2925,8.052249999999999,8.705379999999987,1.083280827501961,163.7248209193789
governance-policy,Policy Enforcement,rejected-write,ProvChain-Org,cross-model-with-caveat,native,rejected-write-latency-ms,ms,,,,30,30,300,300,0,100.0,0.0006965066666666667,0.0006485,0.0011117000000000002,0.0013642899999999998,0.00020786645542003376,1539084.0105576832
governance-policy,Policy Enforcement,unauthorized-read,Hyperledger Fabric,native-comparable,native,unauthorized-rejection-latency-ms,ms,,,,30,30,300,300,0,100.0,6.267033333333333,6.1754999999999995,8.05155,9.126579999999999,0.9745078923344963,163.43009050246204
governance-policy,Policy Enforcement,unauthorized-read,ProvChain-Org,cross-model-with-caveat,native,unauthorized-rejection-latency-ms,ms,,,,30,30,300,300,0,100.0,0.00073226,0.0006845,0.0011029500000000008,0.0014741899999999998,0.00020789461849696832,1455209.8665676236
