family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
semantic,Semantic Admission,Externalized TTL+JSON-LD Admission,Fluree,externalized-semantic-pipeline,external-semantic-pipeline,validation-latency-ms,ms,false,"ttl-to-jsonld-translation, jsonld-file-read, jsonld-parse, jsonld-ledger-insert",false,3,3,3,3,0,100.0,872.6906366666667,860.724618,917.1994677,922.2194543400001,37.54553973240398,1.147967460655236
semantic,Semantic Admission,Native RDF+SHACL Admission,ProvChain-Org,native-comparable,native-rdf-path,validation-latency-ms,ms,true,,true,3,3,3,3,0,100.0,7109.333333333333,7101.0,7147.8,7151.96,32.78549814916481,0.14066315152018743
semantic,Semantic Admission Diagnostic,Externalized JSON-LD Dataset Read,Fluree,not-comparable,external-semantic-pipeline,dataset-read-latency-ms,ms,,,,3,3,3,3,0,100.0,0.11583199999999999,0.11438,0.1236959,0.12452397999999999,0.006751748267424272,8662.136430595794
semantic,Semantic Admission Diagnostic,Externalized JSON-LD Ledger Insert,Fluree,not-comparable,external-semantic-pipeline,load-latency-ms,ms,,,,3,3,3,3,0,100.0,507.83108266666665,502.20192,522.9101451,524.75087622,12.541034932090456,1.9703434042051895
semantic,Semantic Admission Diagnostic,Externalized JSON-LD Parse,Fluree,not-comparable,external-semantic-pipeline,dataset-parse-latency-ms,ms,,,,3,3,3,3,0,100.0,0.8986116666666667,0.9055270000000001,0.9111609999999999,0.9116617999999999,0.014434289390968361,1113.1177986053
semantic,Semantic Admission Diagnostic,Externalized TTL-to-JSON-LD Translation,Fluree,not-comparable,external-semantic-pipeline,mapping-latency-ms,ms,,,,3,3,3,3,0,100.0,204.66666666666666,181.0,247.6,253.51999999999998,35.6121078036982,5.021469344664636
semantic,Semantic Admission Diagnostic,Native Semantic Authentication,ProvChain-Org,not-comparable,native-rdf-path,authentication-latency-ms,ms,,,,3,3,3,3,0,100.0,635.763899,645.725275,647.0714113,647.1910678600001,15.15744205131531,1.5738207542610687
semantic,Semantic Admission Diagnostic,Native Semantic Dataset Read,ProvChain-Org,not-comparable,native-rdf-path,dataset-read-latency-ms,ms,,,,3,3,3,3,0,100.0,0.09254866666666667,0.084968,0.1096001,0.11178962,0.014119392912665273,11039.289367360368
semantic,Semantic Admission Diagnostic,Native Semantic HTTP Submit Loop,ProvChain-Org,not-comparable,native-rdf-path,client-submit-loop-latency-ms,ms,,,,3,3,3,3,0,100.0,6461.477567666667,6447.597257,6489.0631055,6492.7489587,22.83558735741194,97.81166428369528
semantic,Semantic Admission Diagnostic,Native Semantic Turtle Normalize,ProvChain-Org,not-comparable,native-rdf-path,dataset-normalize-latency-ms,ms,,,,3,3,3,3,0,100.0,9.423958666666667,9.417764,9.4706408,9.47534096,0.04062078303310034,106.1144893748207
semantic,Semantic Admission Diagnostic,Native Semantic Turtle Parse,ProvChain-Org,not-comparable,native-rdf-path,dataset-parse-latency-ms,ms,,,,3,3,3,3,0,100.0,3.05471,3.0492700000000004,3.0655095999999995,3.0669531199999995,0.008940121401114304,327.3661160180248
