family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Data Loading,JSON-LD Import,Fluree,native-comparable,native-rdf-path,load-latency-ms,ms,,,,3,3,3,3,0,100.0,1011.0,999.0,1039.5,1043.1,23.62202362203543,989.3841558536142
ledger-write,Data Loading,Turtle RDF Import,ProvChain-Org,native-comparable,native-rdf-path,load-latency-ms,ms,,,,3,3,3,3,0,100.0,367152.3333333333,366459.0,372765.3,373325.86,4896.63982293527,2.724142279294923
ledger-write,Data Loading,Turtle to Cypher Import,Neo4j,secondary-baseline,secondary-transactional-baseline,load-latency-ms,ms,,,,3,3,3,3,0,100.0,104467.33333333333,103695.0,106656.0,106919.2,1824.0369757460753,9.57519408313808
trace-query,Trace Query,Aggregation by Producer,Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,3,3,9,9,0,100.0,4575.557731888889,4670.338168,4921.1562182,4944.835678039999,292.6847039533108,0.21949401612095776
trace-query,Trace Query,Aggregation by Producer,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,3,3,9,9,0,100.0,90.22222222222223,6.0,264.8,265.76,121.02688202560415,153.12776835101994
trace-query,Trace Query,Aggregation by Producer,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,3,3,9,9,0,100.0,1.4969924444444445,1.487508,1.5861684,1.5906304800000002,0.05970410518011323,669.0657549495414
trace-query,Trace Query,Multi-hop Traceability (10 hops),Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,3,3,45,45,0,100.0,18.85971631111111,15.545506000000001,39.93025659999993,80.17923140000002,14.024546776624204,63.52493458058611
trace-query,Trace Query,Multi-hop Traceability (10 hops),Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,3,3,45,45,0,100.0,33.82222222222222,4.0,171.59999999999962,260.92,60.37522997936926,180.66509201977192
trace-query,Trace Query,Multi-hop Traceability (10 hops),ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,3,3,45,45,0,100.0,0.7670090888888889,0.75453,0.8674569999999999,1.149521120000001,0.10322746991072616,994.240866011123
trace-query,Trace Query,Simple Product Lookup,Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,3,3,45,45,0,100.0,18.493526355555556,9.432163000000001,82.02695359999976,163.74806488000002,33.89414198714166,99.52291477302836
trace-query,Trace Query,Simple Product Lookup,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,3,3,45,45,0,100.0,18.755555555555556,5.0,72.79999999999988,119.16000000000003,27.034262668411937,173.5380811889223
trace-query,Trace Query,Simple Product Lookup,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,3,3,45,45,0,100.0,0.6597257111111111,0.615422,1.1885987999999985,1.33100588,0.18375926988216854,983.9040560012171
