family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Data Loading,JSON-LD Import,Fluree,native-comparable,native-rdf-path,load-latency-ms,ms,,,,30,30,30,30,0,100.0,509.1333333333333,517.5,570.5999999999999,576.0,44.600996501074825,1977.7067450293155
ledger-write,Data Loading,Turtle RDF Import,GraphDB,native-comparable,native-rdf-path,load-latency-ms,ms,,,,30,30,30,30,0,100.0,2707.9666666666667,2684.0,2923.1,2930.39,97.50230196712737,369.67831579508123
ledger-write,Data Loading,Turtle RDF Import,ProvChain-Org,native-comparable,native-rdf-path,load-latency-ms,ms,,,,30,30,30,30,0,100.0,24.133333333333333,23.0,33.34999999999995,41.71,4.890353316024882,26284.323728392847
ledger-write,Data Loading,Turtle to Cypher Import,Neo4j,secondary-baseline,secondary-transactional-baseline,load-latency-ms,ms,,,,30,30,30,30,0,100.0,31224.833333333332,31169.5,32667.5,32896.4,1032.5174117444972,32.0603483342314
trace-query,Trace Query,Aggregation by Producer,Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,300,300,0,100.0,133.88729001,117.820809,267.4637875000001,311.51163176999995,53.450522306479535,8.359193134207809
trace-query,Trace Query,Aggregation by Producer,GraphDB,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,300,300,0,100.0,13.733297053333333,9.627671,56.76502895000001,62.83812279999997,13.910712218895988,102.92236443889956
trace-query,Trace Query,Aggregation by Producer,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,300,300,0,100.0,30.0,5.0,254.0,271.1399999999999,74.80374322184686,179.5043710898534
trace-query,Trace Query,Aggregation by Producer,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,300,300,0,100.0,0.5874768633333334,0.5468,0.9622419500000002,1.2009965699999998,0.15202829528816225,994.9566520800777
trace-query,Trace Query,Multi-hop Traceability (10 hops),Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,10.417760795333333,8.822157,17.185538349999998,28.950336600000004,4.497054754724499,109.15181295797667
trace-query,Trace Query,Multi-hop Traceability (10 hops),GraphDB,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,9.617749106666666,9.4665535,12.87236175,19.724468709999993,2.4463820820424806,109.6170085757539
trace-query,Trace Query,Multi-hop Traceability (10 hops),Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,15.162666666666667,5.0,65.0,263.01,39.43164811276456,177.64255437135296
trace-query,Trace Query,Multi-hop Traceability (10 hops),ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,0.492045108,0.46964799999999995,0.735266,0.9511835999999998,0.10942747958822928,999.4202094037735
trace-query,Trace Query,Simple Product Lookup,Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,10.225572277333333,8.059908499999999,13.013704849999998,96.94221932999996,12.726135517869693,122.2682442866675
trace-query,Trace Query,Simple Product Lookup,GraphDB,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,14.56744569,9.898309000000001,16.335901899999993,230.54694684999998,31.13490814465995,103.00321885888337
trace-query,Trace Query,Simple Product Lookup,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,11.011333333333333,6.0,38.0,129.0,18.601734817543825,155.08853501173164
trace-query,Trace Query,Simple Product Lookup,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,0.5095705673333333,0.4644205,0.8577063999999999,1.08025461,0.14848584591145872,998.0175943178997
