family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Data Loading,Turtle RDF Import,ProvChain-Org,native-comparable,native-rdf-path,load-latency-ms,ms,,,,30,30,30,30,0,100.0,23.2,24.0,24.0,24.0,2.08806130178211,27117.867433286683
ledger-write,Data Loading,Turtle to Cypher Import,Neo4j,secondary-baseline,secondary-transactional-baseline,load-latency-ms,ms,,,,30,30,30,30,0,100.0,31592.1,31532.5,33048.1,34265.98,1098.244488566488,31.690586569573757
trace-query,Trace Query,Aggregation by Producer,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,300,300,0,100.0,29.816666666666666,5.0,255.0,296.06999999999994,75.59653688423094,196.30926581132078
trace-query,Trace Query,Aggregation by Producer,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,300,300,0,100.0,0.5741458766666667,0.517602,1.06177765,1.2204538299999979,0.21007654207840878,990.3172321594365
trace-query,Trace Query,Aggregation by Producer,TigerGraph,secondary-baseline,translated-property-graph-model,query-latency-ms,ms,,,,30,30,300,300,0,100.0,3.2758803033333335,3.187965,3.6860332000000007,5.557019529999997,0.696188227202494,311.0737743083445
trace-query,Trace Query,Multi-hop Traceability (10 hops),Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,14.824,5.0,66.0,258.0,38.84484981736103,184.4753576869089
trace-query,Trace Query,Multi-hop Traceability (10 hops),ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,0.478714714,0.45940250000000005,0.7076999499999997,0.9853500099999994,0.12182055842429965,998.4093025540376
trace-query,Trace Query,Multi-hop Traceability (10 hops),TigerGraph,secondary-baseline,translated-property-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,4.038351792,4.13787,4.76698385,6.467047559999999,0.7129007876590651,254.68836660244529
trace-query,Trace Query,Simple Product Lookup,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,10.884666666666666,6.0,38.0,131.01999999999998,18.56769681163738,156.88641790458465
trace-query,Trace Query,Simple Product Lookup,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,0.48994496266666665,0.4517405,0.8579360499999995,1.1846217799999998,0.15510955505738497,996.9452287534458
trace-query,Trace Query,Simple Product Lookup,TigerGraph,secondary-baseline,translated-property-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,3.2224257306666666,3.210428,3.7398464499999995,5.310762349999999,0.47400435489948767,315.5616040103349
