family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Data Loading,JSON-LD Import,Fluree,native-comparable,native-rdf-path,load-latency-ms,ms,,,,30,30,30,30,0,100.0,469.76666666666665,452.0,570.3,580.8100000000001,57.659739468328816,2158.383999208629
ledger-write,Data Loading,Turtle RDF Import,ProvChain-Org,native-comparable,native-rdf-path,load-latency-ms,ms,,,,30,30,30,30,0,100.0,12122.066666666668,12088.0,12339.9,12405.99,118.26099197208784,82.49797789626494
ledger-write,Data Loading,Turtle to Cypher Import,Neo4j,secondary-baseline,secondary-transactional-baseline,load-latency-ms,ms,,,,30,30,30,30,0,100.0,30715.4,30867.5,32151.95,32751.5,1015.5641322273383,32.592395381140825
trace-query,Trace Query,Aggregation by Producer,Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,300,300,0,100.0,127.17923503,112.76274699999999,238.20352755000002,297.76418612,46.24012851849724,8.653317809798827
trace-query,Trace Query,Aggregation by Producer,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,300,300,0,100.0,28.476666666666667,5.0,246.05,264.06999999999994,70.4557742291022,184.3540235610453
trace-query,Trace Query,Aggregation by Producer,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,300,300,0,100.0,0.5663188833333334,0.5388255,0.7545726500000001,1.20439032,0.1195581311270089,996.7995062743861
trace-query,Trace Query,Multi-hop Traceability (10 hops),Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,10.060420037333333,8.7241705,16.58771135,26.85568970999999,4.116096600025983,112.74432019081615
trace-query,Trace Query,Multi-hop Traceability (10 hops),Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,14.515333333333333,5.0,64.0,253.01,37.710464041459666,189.83475050955408
trace-query,Trace Query,Multi-hop Traceability (10 hops),ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,0.47886639,0.4615705,0.5938309499999997,0.9362021799999999,0.09875284244383331,999.057868958154
trace-query,Trace Query,Simple Product Lookup,Fluree,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,9.722295468666667,7.823826,12.06916485,85.96914442,11.560801100631338,127.10426991092667
trace-query,Trace Query,Simple Product Lookup,Neo4j,native-comparable,translated-graph-model,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,10.304,6.0,36.0,112.00999999999999,17.383351728977164,168.0092723138042
trace-query,Trace Query,Simple Product Lookup,ProvChain-Org,native-comparable,native-rdf-path,query-latency-ms,ms,,,,30,30,1500,1500,0,100.0,0.48722867933333336,0.45262650000000004,0.7320794999999996,1.09122916,0.14637454673987724,997.3817319772397
